user_input,reference_contexts,persona_name,query_style
"<reasoning>We need to produce a single question, in Spanish (Chile), confused style: Confundido ('No entiendo cómo funciona X') Bien escrito (Gramática correcta y formal). Must be relevant to the official text: It says: Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado. Una vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.  User is elderly, not tech-savvy, concerned about pension and presencial attention. He hasn't read the text, so his question should reflect confusion about how to see mortgage offers or preapproval after logging in. Should ask something like: No entiendo cómo puedo ver si tengo una oferta hipotecaria disponible al ingresar mis credenciales; ¿es necesario hacerlo en línea o puedo hacerlo presencialmente? That fits.  Make sure it's one question, proper grammar, formal.  Let's craft: No entiendo cómo, al ingresar mis credenciales BancoEstado, puedo visualizar si tengo una oferta hipotecaria disponible o solicitar una preaprobación; ¿es necesario hacerlo en línea o puedo gestionarlo de forma presencial? That is one question.</reasoning>No entiendo cómo, al ingresar mis credenciales BancoEstado, puedo visualizar si tengo una oferta hipotecaria disponible o solicitar una preaprobación; ¿es necesario hacerlo en línea o puedo gestionarlo de forma presencial?",['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],Pensionado / Adulto Mayor,Confundido ('No entiendo cómo funciona X')Bien escrito (Gramática correcta y formal)
"<reasoning>We need to produce a single question in Spanish (Chile), based on the official text. The user is Cliente CuentaRUT, average user, colloquial but respectful, concerned about commissions, fees for Caja Vecina, internet password. However the question must be based only on the official text about credit mortgage approval. So we need a scenario question like Si me aparece una oferta preaprobada y elijo una propiedad con entrega inmediata, ¿qué pasa después? But must reflect style: Si me pasa esto, ¿qué hago? So maybe: Si tengo una Oferta Preaprobada y elijo una casa que está disponible para entrega inmediata en el portal, ¿qué ocurre con mi solicitud? That is based on text.  Make sure not to add extra. No quotes. Just the question.</reasoning>Si tengo una Oferta Preaprobada y elijo una propiedad con entrega inmediata en el portal, ¿qué pasa con mi solicitud de crédito hipotecario?","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']",Cliente CuentaRUT,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"<reasoning>We need to produce a single question in informal Chilean Spanish, as a university student, interested in app, paying Spotify/Netflix, benefits of Joven card, online purchases. The official text is about forgetting credentials for Bance en línea? Actually Bance maybe typo of Banco. It says: Qué pasa si no recuerdo mis credenciales de la Bance en línea. Debes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.  The user hasn't read it, so they'd ask something like: ¿Y si se me olvida la clave de la Banca en línea, cómo la recupero para seguir usando la app y pagar mis cosas? Must be informal.  So produce one question.</reasoning>¿Qué hago si se me olvida la clave de Banca en línea, cómo la recupero para seguir usando la app y pagar mis suscripciones?",['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],Estudiante Universitario,Informal (Lenguaje coloquial)
"<reasoning>We need to produce a single question in Spanish, style of an elderly pensioner, wary, asking based on scenario: Si me pasa esto, ¿qué hago? Should be based only on the official text: It says: Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.  So the question could be: Si me llega a olvidar la clave de internet o la pierdo, ¿cómo puedo entrar a CASAVERSO con mis datos del banco? Or Si intento entrar a CASAVERSO con mi RUT y clave de Banca en Línea y no funciona, ¿qué hago? Must be based only on that info. The question should reflect they don't know the content, they ask about using credentials.  Let's craft: Si intento ingresar a CASAVERSO con mi RUT y la clave de Banca en Línea y no recuerdo la clave, ¿qué debo hacer para poder entrar? That references the content. It's a scenario. It's okay.  Make sure it's a single question, no extra.</reasoning>Si intento ingresar a CASAVERSO con mi RUT y la clave de Banca en Línea y no recuerdo la clave, ¿qué debo hacer para poder entrar?","['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']",Pensionado / Adulto Mayor,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"<reasoning>The user wants a single question in formal, professional, polite language, reflecting the user concerns (commissions, etc.) but based solely on the official text about Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario. The user is a typical Chilean average user, uses colloquial but respectful language, concerned about commissions, etc., but the question must be about the official text content. They haven't read the text, so they ask a question they'd have. They want formal style.  Possible question: ¿Podría indicarme cuál es la antigüedad laboral mínima exigida para solicitar un crédito hipotecario según mi tipo de ingreso? That's formal and relevant.  Make sure no extra text. Provide only the question.</reasoning>¿Podría indicarme cuál es la antigüedad laboral mínima requerida para solicitar un crédito hipotecario según mi tipo de ingreso?",['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],Cliente CuentaRUT,Formal (Lenguaje profesional y educado)
"<reasoning>The user wants a single question in Spanish, style of a pensionado/adulto mayor, with scenario Si me pasa esto, ¿qué hago? The question must be based only on the official text about Buen comportamiento y endeudamiento. The user hasn't read the text, but we must craft a question that reflects concerns: they might wonder about their pension and credit eligibility; perhaps: Si tengo una deuda pequeña o algún atraso, ¿qué pasa con mi solicitud de crédito? Or Si mi historial de pagos no es perfecto, ¿me pueden negar el crédito? Must be a single question, no extra text. Ensure no quotes, no headings.  Let's produce: Si tengo una deuda pendiente o un atraso en algún pago, ¿eso me impide que me aprueben el crédito? That's good.</reasoning>Si tengo una deuda pendiente o un atraso en algún pago, ¿eso me impide que me aprueben el crédito?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']",Pensionado / Adulto Mayor,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"<reasoning>We need to output a single comparative question (¿Es mejor esto o aquello?) relevant to the official text about complementación de renta for crédito hipotecario. The user is a micro-entrepreneur (Pyme) owner, concerned about capital de trabajo, créditos, tasas, paying suppliers. They haven't read the text. They ask a comparative question. Should be about using a codeudor familiar vs codeudor tercero perhaps, or about using spouse vs third party for complementación de renta. Must be based only on info in text. So question could be: ¿Es mejor complementar la renta con un cónyuge o con un codeudor tercero para aumentar la capacidad de pago del crédito hipotecario? That uses comparative style. That fits. Ensure Spanish (Chile). Provide only question.</reasoning>¿Es mejor complementar la renta con un cónyuge o con un codeudor tercero para aumentar la capacidad de pago del crédito hipotecario?","['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']",Micro-Emprendedor (Pyme),Comparativo ('¿Es mejor esto o aquello?')
"<reasoning>We need to produce a single question, confused style (No entiendo cómo funciona X) and well written grammar, formal. User is a university student interested in app, paying Spotify/Netflix, card benefits, online purchases. But the text is about financing for mortgage. The user hasn't read the text. So they might ask something like: No entiendo cómo se determina el porcentaje de financiamiento cuando el precio de venta es mayor que la tasación. That reflects confusion about the rule. Must be relevant to text. Should be in Spanish (Chile). One question. No extra text. Let's craft:  ¿Podría explicarme por qué el porcentaje de financiamiento se determina tomando el menor valor entre el precio de venta y la tasación del inmueble? That's a question, formal, expresses confusion. Good.</reasoning>¿Podría explicarme por qué el porcentaje de financiamiento se determina tomando el menor valor entre el precio de venta y la tasación del inmueble?","['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']",Estudiante Universitario,Confundido ('No entiendo cómo funciona X')Bien escrito (Gramática correcta y formal)
"<reasoning>We need to produce a single question, formal, professional, from perspective of micro-entrepreneur about capital, credit, interest, paying suppliers, but based solely on the official text about law 21.389 and checking debtor registry for alimony. The question should be something a user who hasn't read the text would ask, but based on the info in text. So maybe: ¿Cómo afecta mi solicitud de crédito la revisión del Banco del Registro Nacional de Deudores de Pensiones de Alimentos según la Ley 21.389? Formal style. Must be Spanish (Chile). No extra text. Provide only question.</reasoning>¿Podría indicarme cómo influye la revisión del Registro Nacional de Deudores de Pensiones de Alimentos, establecida por la Ley 21.389, en la evaluación y aprobación de mi crédito para capital de trabajo?",['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],Micro-Emprendedor (Pyme),Formal (Lenguaje profesional y educado)
"<reasoning>We need to produce a single direct short question, in Spanish (Chile), reflecting a pensionado/elderly user who is distrustful, wants security, about pension and presencial attention. But must be based only on the official text: Nacionalidad para Solicitar Crédito Hipotecario: Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.  User is a pensioner asking about pension, but must base on the text. So they might ask: ¿Puedo pedir un crédito hipotecario si soy extranjero con residencia permanente? That's directly based. Or ¿Necesito ser chileno para obtener un crédito hipotecario? Direct. Should be short. Let's output: ¿Puedo solicitar un crédito hipotecario si soy extranjero con residencia permanente?</reasoning>¿Puedo solicitar un crédito hipotecario si soy extranjero con residencia permanente?",['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],Pensionado / Adulto Mayor,Directo (Pregunta corta y precisa)
"<reasoning>We need to produce a single question, formal, professional, respectful, in Spanish (Chile). The user is Cliente CuentaRUT average user, uses colloquial but respectful language, concerned about commissions, charges for Caja Vecina, internet password. But the text is about Pie para solicitar Crédito Hipotecario: the down payment must be from own resources and not correspond to indebtedness in BancoEstado or other financial institutions.  We need a question a user who hasn't read the text would ask, based on the text but they don't know its content. So they might ask: ¿Cuál es el requisito del pie para solicitar un crédito hipotecario? But must be formal. Possibly: ¿Podría indicarme si el pie para un crédito hipotecario debe provenir exclusivamente de recursos propios y no puede ser financiado mediante una deuda con BancoEstado u otra institución? That's a question referencing the info.  Make sure it's a single question, no extra text. No quotes. Formal.  Let's craft: ¿Es necesario que el pie para solicitar un crédito hipotecario provenga exclusivamente de recursos propios y que no incluya ninguna deuda contraída con BancoEstado u otras instituciones financieras? That's formal. Should be okay.  Make sure no extra punctuation. End with question mark.  Return just that.</reasoning>¿Es necesario que el pie para solicitar un crédito hipotecario provenga exclusivamente de recursos propios y que no incluya ninguna deuda contraída con BancoEstado u",['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],Cliente CuentaRUT,Formal (Lenguaje profesional y educado)
"<reasoning>The user wants a single question, in Spanish (Chile), using style: confused (No entiendo cómo funciona X) and well written (grammar correct and formal). The user is a micro-entrepreneur (pyme) concerned about capital, credits, interest rates, paying suppliers, but we need a question based solely on the official text about age limits for mortgage credit. The question must reflect concerns of a micro-entrepreneur who hasn't read the text. So they might be confused about age limits and how they affect their ability to get a mortgage for a business property? But the text is about mortgage credit (personal). The user might ask: No entiendo cómo funciona la edad máxima de ingreso según el plazo del crédito hipotecario; ¿qué edad máxima debo tener si quiero un crédito a 15 años? Must be one question, style: Confundido ('No entiendo cómo funciona X') Bien escrito (Gramática correcta y formal). So phrase like: No entiendo cómo funciona la edad máxima de ingreso según el plazo del crédito hipotecario; ¿qué edad máxima debo tener si solicito un crédito a 15 años? That is a single question, includes confusion phrase. Should be one question sentence ending with ?. Provide only the question.</reasoning>No entiendo cómo funciona la edad máxima de ingreso según el plazo del crédito hipotecario; ¿qué edad máxima debo tener si solicito un crédito a 15 años?","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']",Micro-Emprendedor (Pyme),Confundido ('No entiendo cómo funciona X')Bien escrito (Gramática correcta y formal)
"<reasoning>The user wants a single question, direct, short, in Spanish (Chile), based only on the official text, imitating a pensionado adult older user who is not tech-savvy, asking with distrust or seeking security about pension and presencial attention. But must be based only on the text, not about pension. The text is about minimum net income to request mortgage credit. The user would ask something relevant to that content, reflecting concerns. Perhaps: ¿Necesito tener $600.000 de sueldo para poder solicitar el crédito, o puedo usar mi pensión? That's short. Or ¿Mi pensión cuenta como renta para los $600.000 mínimos? That's direct. That matches style. Provide just the question.</reasoning>¿Mi pensión cuenta como parte de los $600.000 de renta mínima para solicitar el crédito?","['# Renta líquida Mínima para Solicitar Crédito Hipotecario\n\nSueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nOpción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.\n\nPara complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nEn caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.\n\nValor del dividendo a pagar hasta el 30% de tus ingresos mensuales.\n']",Pensionado / Adulto Mayor,Directo (Pregunta corta y precisa)
