user_input,reference_contexts,persona_name,query_style
¿Cómo visualizo la oferta hipotecaria disponible al ingresar mis credenciales?,['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa)
"Si tengo una Oferta Preaprobada y navego desde el portal a una propiedad con entrega inmediata, ¿qué pasa con mi solicitud y quién me contactará para avanzar en el proceso?","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
Confundido ('No entiendo cómo funciona recuperar la clave Banco en línea')?,['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],Pensionado / Adulto Mayor,Confundido ('No entiendo cómo funciona X')
¿Puedo usar mi RUT y clave internet de Banca en Línea para ingresar a CASAVERSO?,"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']",Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa)
"Si soy estudiante y solo tengo un trabajo a tiempo parcial de 6 meses, ¿qué antigüedad laboral necesito para poder solicitar un crédito hipotecario?",['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],Estudiante Universitario,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
"Si al presentar la solicitud cumplo con el nivel de endeudamiento y buen comportamiento, pero al momento de la resolución del crédito mi endeudamiento ha aumentado, ¿qué ocurre?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')"
¿Es mejor complementar la renta con un familiar directo o con un tercero al solicitar un crédito hipotecario?,"['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']",Estudiante Universitario,Comparativo ('¿Es mejor esto o aquello?')
¿Es mejor solicitar un financiamiento del 80 % o buscar el 90 % solo cuando se trata de una primera vivienda con FOGAES?,"['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']",Micro-Emprendedor (Pyme),Comparativo ('¿Es mejor esto o aquello?')
¿Cómo afecta estar en el Registro Nacional de Deudores de Pensiones de Alimentos a mi solicitud de crédito?,['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa)
¿Puedo solicitar un crédito hipotecario siendo extranjera con permanencia temporal?,['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],Cliente CuentaRUT,Directo (Pregunta corta y precisa)
¿Es mejor aportar el pie con mis recursos propios o endeudarme en BancoEstado?,['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],Pensionado / Adulto Mayor,Comparativo ('¿Es mejor esto o aquello?')
"Confundido (No entiendo cómo funciona la edad máxima de ingreso según el plazo del crédito, ¿pueden explicarme?)","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']",Pensionado / Adulto Mayor,Confundido ('No entiendo cómo funciona X')
Confundido ('No entiendo cómo funciona el límite del 30% de mis ingresos mensuales para el dividendo')?,"['# Renta líquida Mínima para Solicitar Crédito Hipotecario\n\nSueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nOpción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.\n\nPara complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nEn caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.\n\nValor del dividendo a pagar hasta el 30% de tus ingresos mensuales.\n']",Micro-Emprendedor (Pyme),Confundido ('No entiendo cómo funciona X')
¿La tasa fija se mantiene sin cambios durante todo el crédito?,"['# Tasa de interés para crédito hipotecario\n\nPuedes optar a una tasa de interés fija, lo que implica que la tasa pactada en el origen del crédito, se mantendrá durante todo el período del crédito.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa)
