user_input,reference_contexts,persona_name,query_style,retrieved_contexts
¿Cómo visualizo la oferta hipotecaria disponible al ingresar mis credenciales?,['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado\n\nUna vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.\n'],Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa),"['# Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado Una vez ingresaste con credenciales BancoEstado podrás visualizar si cuentas con una oferta hipotecaria disponible y/o solicitar una preaprobación en línea.', '# Quién emite la solicitud de crédito hipotecario y cuál es su descripción La fuente del documento SOLICITUD DE CREDITO HIPOTECARIO es BancoEstado y es el Formulario proporcionado por el banco para la solicitud del crédito.', '# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario SI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.']"
"Si tengo una Oferta Preaprobada y navego desde el portal a una propiedad con entrega inmediata, ¿qué pasa con mi solicitud y quién me contactará para avanzar en el proceso?","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario SI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.', 'Si el proyecto es de mi interés ¿qué pasos debo seguir? Paso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto. Paso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles. Paso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto.', '# CRÉDITO PREAPROBADO Es una oferta de crédito a un consumidor cuyo riesgo ha sido previamente evaluado, con ciertas condiciones y plazos, donde el consumidor puede aceptar o rechazar el crédito. Requiere que el consumidor acepte formalmente el producto frente a la empresa.']"
Confundido ('No entiendo cómo funciona recuperar la clave Banco en línea')?,['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],Pensionado / Adulto Mayor,Confundido ('No entiendo cómo funciona X'),"['# Qué pasa si no recuerdo mis credenciales de la Bance en línea Debes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.', 'Abre la App BancoEstado Ingresa la clave de acceso a la App En la siguiente pantalla (home) de la App, te aparecerá una campaña de apertura, la cual deberás seleccionar para avanzar en la contratación. Deberás Visualizar y aceptar los contratos Deberás crear la clave de tu tarjeta digital CuentaRUT Selecciona opción “Autorizar” y la cuenta estará lista para ser usada! Recibirás un email con la documentación de tu CuentaRUT Reposición Tarjeta CuentaRUT a domicilio 4.- ¿Cómo solicito una Reposición de mi Tarjeta CuentaRUT con Delivery en la App BancoEstado? Puedes acceder desde la opción “Productos y servicios”, seleccionando “Reposición y Activación de tarjetas”, y luego: Ingresa tu dirección y datos de contacto. Selecciona tu cuenta de cargo.', 'Te enviaremos un SMS para validar información. Te pediremos ingresar otros datos como: dirección, ocupación y nivel de ingresos. Deberás crear la clave de tu tarjeta digital CuentaRUT Deberás Visualizar y aceptar los contratos Selecciona opción “Crear Cuenta” y la cuenta estará lista para ser usada! Recibirás un email con la documentación de tu CuentaRUT. 3.- Si ya soy Cliente del Banco, pero aún no tengo CuentaRUT, ¿cómo puedo obtenerla desde la App BancoEstado? Abre la App BancoEstado Ingresa la clave de acceso a la App En la siguiente pantalla (home) de la App, te aparecerá una campaña de apertura, la cual deberás seleccionar para avanzar en la contratación.']"
¿Puedo usar mi RUT y clave internet de Banca en Línea para ingresar a CASAVERSO?,"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']",Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa),"['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco? Sí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.', '# Cómo puedo crear una cuenta en CASAVERSO Para crear una cuenta, anda al menú lateral y marca la opción Iniciar sesión. En esta página puedes registrarte en la plataforma presionando el botón Registrarse en CASAVERSO. Tip: Si eres cliente BancoEstado, puedes abrir tu cuenta sin necesidad de registro. Simplemente ingresa tu RUT y la clave que usas en tu Banca en Línea para entrar a tu cuenta.', '# Es seguro compartir mi información personal en CASAVERSO Como en todos los portales de BancoEstado, la seguridad es una de nuestras principales preocupaciones. Puedes revisar el enlace Políticas de privacidad en el pie de página para informarte de todo lo relacionado a tratamiento de datos personales y uso de datos de navegación (cookies).']"
"Si soy estudiante y solo tengo un trabajo a tiempo parcial de 6 meses, ¿qué antigüedad laboral necesito para poder solicitar un crédito hipotecario?",['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],Estudiante Universitario,"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario La antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)', '# Rango de edad mínima y máxima para solicitar Crédito Hipotecario Edad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen: Plazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días Plazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días Plazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días Plazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días Plazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días Plazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días La edad máxima de', '# ¿Cuál es la edad mínima y máxima para contratar un Crédito Hipotecario? La edad mínima para solicitarlo es de 18 años, y la máxima de 72 años con 364 días (considerando un plazo del crédito de 8 años). La edad máxima de permanencia para efecto del seguro de desgravamen es de 81 años con 364 días. Se debe tener en cuenta que la edad de ingreso más el plazo del crédito, no debe superar la edad de permanencia.']"
"Si al presentar la solicitud cumplo con el nivel de endeudamiento y buen comportamiento, pero al momento de la resolución del crédito mi endeudamiento ha aumentado, ¿qué ocurre?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']",Micro-Emprendedor (Pyme),"Basado en un escenario ('Si me pasa esto, ¿qué hago?')","['# Buen comportamiento y endeudamiento Al momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras. Los antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito', 'En general, el concepto de endeudamiento es el nivel de deuda que asume una persona según su capacidad de pago. Se debe tener en consideración que estas deudas no deben alterar el pago de los gastos básicos del hogar. Si esto sucede, se habla de sobreendeudamiento, que se da cuando los ingresos no son suficientes para cubrir las deudas adquiridas. Lo importante es que si defines tomar un crédito, lo hagas con toda la información sobre la mesa: conociendo tu capacidad de pago, los distintos tipos de crédito, las condiciones de éstos, tus derechos y obligaciones como consumidor, e incluso las recomendaciones en caso de alguna emergencia o evento económico que te pudiera afectar.', 'Sabiendo esto, veamos la Situación 2. La misma persona, con el mismo presupuesto, decidió adquirir un nuevo crédito, ya que tiene remante positivo. Para no pasarse de su capacidad de endeudamiento ($180.000) decidió adquirir una deuda cuya cuota mensual es de $30.000, la que sumada a su deuda anterior llega al tope del 30% recomendado, en este caso, los $180.000 antes descritos.']"
¿Es mejor complementar la renta con un familiar directo o con un tercero al solicitar un crédito hipotecario?,"['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']",Estudiante Universitario,Comparativo ('¿Es mejor esto o aquello?'),"['# ¿Puedo complementar renta? Se puede complementar renta con un tercero, que puede ser un segundo comprador o codeudor del crédito, con o sin vinculo. Para ello debe cumplir con ciertas condiciones y requisitos de renta y endeudamiento y comportamiento en el sistema financiero, tanto de forma individual como conjunta.', '# Complementación de Renta Crédito Hipotecario Para complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago. En este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito. En la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).', '# Complemento de renta para un crédito hipotecario La complementación de renta permite optar a un mayor financiamiento: Puede ser un familiar o no. Puede ser un segundo titular o un fiador y codeudor solidario. Debe acreditar ingresos al igual que el titular principal. Debe acreditar antecedentes comerciales de acuerdo con la Política Crediticia del Banco. Si se complementa renta, el tercero es también responsable del pago como fiador y codeudor, o como segundo titular. En el caso de un crédito para compraventa, el tercero podrá ser comprador o sólo fiador y codeudor solidario, según lo requiera el Cliente y la persona que complementa renta con este.']"
¿Es mejor solicitar un financiamiento del 80 % o buscar el 90 % solo cuando se trata de una primera vivienda con FOGAES?,"['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']",Micro-Emprendedor (Pyme),Comparativo ('¿Es mejor esto o aquello?'),"['# Financiamiento para Solicitar Crédito Hipotecario Financiamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES). Para definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien', '# ¿Cómo se verifica que el cliente sea elegible para solicitar este financiamiento? Al momento de solicitar tu financiamiento, el Ejecutivo del Banco validará que cumplas con los requisitos necesarios para acceder al programa Vivienda Nueva con garantía FOGAES.', '# ¿Cuánto dinero puedo pedir prestado para adquirir una vivienda? Podrás acceder hasta el 90% del menor valor entre la tasación y el precio de venta de la propiedad, considerando que el dividendo no debe superar el 25% de tu renta líquida o Ingreso familiar en caso de complementar renta. Estas condiciones estarán sujetas a la evaluación comercial y las políticas de riesgo vigentes de BancoEstado.']"
¿Cómo afecta estar en el Registro Nacional de Deudores de Pensiones de Alimentos a mi solicitud de crédito?,['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],Micro-Emprendedor (Pyme),Directo (Pregunta corta y precisa),"['# Ley 21.389 de Pensiones El Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.', 'Cliente no debe estar inscrito en el Registro Nacional de Deudores de Pensión de Alimentos que Regula la Ley N°21.389. Cumplir con las políticas de evaluación comercial y de riesgo definidas por el Banco.', 'Es decir, a la persona que se comprometió a responder por el compromiso, comúnmente un familiar o amigo cercano. 3. Afectar historial crediticioPara otorgar créditos, las instituciones financieras evalúan el comportamiento de pago de las personas, por lo que estar en los registros de morosidad podría impedir contar con el dinero de un crédito nuevo cuando lo requieras. Por eso es importante mantener una situación financiera saludable.']"
¿Puedo solicitar un crédito hipotecario siendo extranjera con permanencia temporal?,['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],Cliente CuentaRUT,Directo (Pregunta corta y precisa),"['# ¿Puedo solicitar un crédito hipotecario si tengo ingresos en el extranjero? Una persona con ingresos percibidos en el extranjero (chilenos en el exterior), puede solicitar un crédito hipotecario siempre que los ingresos declarados se encuentren visados ante el Consulado de Chile correspondiente al país de residencia del cliente. Deberá presentar certificado de ingresos percibidos en el extranjero (declaración de impuesto o similar) Si tiene boletas de honorarios de últimos 6 meses, o contrato de trabajo.', '# Nacionalidad para Solicitar Crédito Hipotecario Chilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.', '# ¿Puedo solicitar un crédito hipotecario si tengo un contrato de plazo fijo? Un contrato a plazo fijo puede limitar el acceso al crédito y estará sujeto a evaluación especial. Se puede solicitar financiamiento siempre que acredite una antigüedad de 2 años.']"
¿Es mejor aportar el pie con mis recursos propios o endeudarme en BancoEstado?,['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],Pensionado / Adulto Mayor,Comparativo ('¿Es mejor esto o aquello?'),"['# Pie para solicitar Crédito Hipotecario El pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.', '# La importancia del endeudamiento informado Endeudarse no es malo de por sí, siempre y cuando sepas cuál es tu capacidad de pago y te ajustes a ese límite. Antes de endeudarte reflexiona si es necesario solicitar el préstamo. Pregúntate si aquello para lo que destinarás el dinero es una necesidad imperiosa o podrías esperar a tener los ahorros para adquirirlo. Luego, solo recurre al crédito después de analizar tu capacidad de pago o endeudamiento. ¿Qué es el endeudamiento? En general, el concepto de endeudamiento es el nivel de deuda que asume una persona según su capacidad de pago. Se debe tener en consideración que estas deudas no deben alterar el pago de los gastos básicos del hogar.', 'En general, el concepto de endeudamiento es el nivel de deuda que asume una persona según su capacidad de pago. Se debe tener en consideración que estas deudas no deben alterar el pago de los gastos básicos del hogar. Si esto sucede, se habla de sobreendeudamiento, que se da cuando los ingresos no son suficientes para cubrir las deudas adquiridas. Lo importante es que si defines tomar un crédito, lo hagas con toda la información sobre la mesa: conociendo tu capacidad de pago, los distintos tipos de crédito, las condiciones de éstos, tus derechos y obligaciones como consumidor, e incluso las recomendaciones en caso de alguna emergencia o evento económico que te pudiera afectar.']"
"Confundido (No entiendo cómo funciona la edad máxima de ingreso según el plazo del crédito, ¿pueden explicarme?)","['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']",Pensionado / Adulto Mayor,Confundido ('No entiendo cómo funciona X'),"['ingreso 61 años con 364 días Plazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días Plazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días La edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.', '# ¿Cuál es la edad mínima y máxima para contratar un Crédito Hipotecario? La edad mínima para solicitarlo es de 18 años, y la máxima de 72 años con 364 días (considerando un plazo del crédito de 8 años). La edad máxima de permanencia para efecto del seguro de desgravamen es de 81 años con 364 días. Se debe tener en cuenta que la edad de ingreso más el plazo del crédito, no debe superar la edad de permanencia.', '# Rango de edad mínima y máxima para solicitar Crédito Hipotecario Edad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen: Plazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días Plazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días Plazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días Plazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días Plazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días Plazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días La edad máxima de']"
Confundido ('No entiendo cómo funciona el límite del 30% de mis ingresos mensuales para el dividendo')?,"['# Renta líquida Mínima para Solicitar Crédito Hipotecario\n\nSueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nOpción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.\n\nPara complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nEn caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.\n\nValor del dividendo a pagar hasta el 30% de tus ingresos mensuales.\n']",Micro-Emprendedor (Pyme),Confundido ('No entiendo cómo funciona X'),"['La regla 50/30/20 es una fórmula fácil de aplicar que puede ayudarte a organizar tus finanzas sin complicaciones. 50% para necesidades básicas: Este porcentaje cubre lo esencial, como vivienda, alimentación, transporte y servicios básicos. Por ejemplo, si ganas $700.000 al mes, $350.000 deberían destinarse a estos gastos. 30% para deseos: Este es el monto para aquellos gastos que no son esenciales, pero que mejoran tu calidad de vida, como salidas a comer, entretenimiento o hobbies. En este caso, serían $210.000. 20% para ahorro y metas financieras: Este porcentaje se destina al ahorro, pago de deudas o inversiones. Representaría $140.000 en el ejemplo.', '# ¿Cuánto debería gastar? La regla 50/30/20 para organizar tus finanzas Si sientes que no logras organizar tus ingresos y gastos, la regla 50/30/20 puede ayudar a que tus finanzas vayan mejor. Este método simple te permite dividir tus ingresos en tres categorías clave para alcanzar un mayor control financiero. Administrar tu dinero puede ser un desafío, especialmente cuando no tienes claro cómo dividir tus ingresos para cubrir necesidades, deseos y metas de ahorro. La regla 50/30/20 es una fórmula fácil de aplicar que puede ayudarte a organizar tus finanzas sin complicaciones. 50% para necesidades básicas: Este porcentaje cubre lo esencial, como vivienda, alimentación, transporte y servicios básicos.', 'Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito. En caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo. Valor del dividendo a pagar hasta el 30% de tus ingresos mensuales.']"
¿La tasa fija se mantiene sin cambios durante todo el crédito?,"['# Tasa de interés para crédito hipotecario\n\nPuedes optar a una tasa de interés fija, lo que implica que la tasa pactada en el origen del crédito, se mantendrá durante todo el período del crédito.\n']",Cliente CuentaRUT,Directo (Pregunta corta y precisa),"['# Tasa de interés para crédito hipotecario Puedes optar a una tasa de interés fija, lo que implica que la tasa pactada en el origen del crédito, se mantendrá durante todo el período del crédito.', '# ¿Qué tipos de tasas existen? Existen 3 tipos de tasas: - Tasa Fija: Tasa fija durante todo el período del crédito que se pacta en el origen del crédito. - Tasa Mixta: Tasa fija por los primeros 3 o 5 años y luego tasa fija por el resto del período dependiendo del plazo total solicitado, ambas se pactan en el origen del crédito. - Tasa Variable: Tasa fija por los primeros 3 o 5 años que se pacta en el origen y luego variable año a año a partir del cuarto o sexto año respectivamente.', '¿Puedes sostener el pago de una cuota de crédito durante un plazo determinado?Calcula lo que debes pagar y si puedes mantener tu flujo durante la duración del crédito. Conoce aquí los distintos tipos de créditos: Línea de CréditoEs un monto de dinero, determinado por un contrato, que una entidad financiera entrega al titular de una cuenta corriente, para ser utilizado cuando no tenga fondos en su cuenta. La línea de crédito normalmente está sujeta al pago de intereses sobre el monto que se haya utilizado. Además, según la institución financiera, puede originar comisiones por su utilización y por eventuales seguros asociados (por ejemplo, de desgravamen, que cubre la deuda ante el fallecimiento del titular).']"
