user_input,reference_contexts,query_style
"Tengo una oferta preaprobada y vi una casa con entrega inmediata en el portal, ¿qué ocurre si envío la solicitud de crédito hipotecario?","['# Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario\n\nSI cuentas con una Oferta Preaprobada o se generó una preaprobación en línea y, navegaste desde una propiedad disponible en el Portal con entrega inmediata, se derivará tu solicitud a un ejecutivo de BancoEstado a cargo del proyecto en el cual estas interesado y, a la inmobiliaria del proyecto para que te contacten y avanzar en el proceso.\n']",Caso Hipotético en Primera Persona
"Olvidé mi clave de Banco en línea, ¿cómo puedo recuperarla para entrar al portal Casaverso?",['# Qué pasa si no recuerdo mis credenciales de la Bance en línea\n\nDebes ingresar al sitio web de BancoEstado y recuperar la clave Banco en línea y posterior a ello puedes acceder al portal CASAVERSO.\n'],Orientado a la Acción
"Oye, ¿puedo entrar al Casaverso con el mismo RUT y clave que uso en Banca en Línea?","['# Si soy cliente del BancoEstado, ¿puedo ingresar con mis credenciales del banco?\n\nSí, puedes ingresar a tu cuenta en CASAVERSO con tu RUT y clave internet con la que ingresas habitualmente a tu Banca en Línea.\n']",Colloquial Chileno Natural
"Oye, ¿cuánta antigüedad tengo que tener en mi trabajo para poder pedir un crédito hipotecario?",['# Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario\n\nLa antigüedad laboral mínima requerida se encuentra en función de la actividad o tipo de ingreso del cliente. (diferencias en sitio público)\n'],Colloquial Chileno Natural
"Oye, ¿qué nivel de endeudamiento tengo que tener para que me aprueben el crédito?","['# Buen comportamiento y endeudamiento\n\nAl momento de la evaluación, el o los solicitantes, deberán contar con un endeudamiento que permita al cliente asumir una obligación crediticia y un buen comportamiento de pago de sus obligaciones financieras.\n\nLos antecedentes de endeudamiento y comportamiento deben cumplirse al momento de presentar la solicitud, como también al momento de la resolución del crédito\n']",Colloquial Chileno Natural
"¿Puedo incluir a un tercero sin vínculo familiar para complementar la renta en un crédito hipotecario con subsidio, o solo mi cónyuge/familiar directo?","['# Complementación de Renta Crédito Hipotecario\n\nPara complementar renta puedes sumar tus ingresos con los de otra persona, familiar o no familiar, y se considerará la capacidad de pago de ambos solicitantes de manera conjunta e individualmente. Esto quiere decir que se considera la suma de los compromisos financieros de ambos para definir la capacidad de pago.\n\nEn este caso, ambos participantes deudor y codeudor o segundo titular, asumen la condición de deudores. Es decir, ambos tienen la responsabilidad del pago del crédito.\n\nEn la complementación de renta con un comprador o codeudor cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad (padres, hermanos o hijos).\n\nEn la complementación de renta con un comprador tercero o codeudor tercero (distinto a cónyuge, conviviente civil, pareja con hijo en común o familiar directo por consanguinidad, es decir, sin vínculo).\n\nPara créditos hipotecarios con subsidio solo puede haber un comprador y este debe ser el beneficiario del subsidio, o su cónyuge o conviviente civil cuando tenga el subsidio endosado a su favor.\n']",Duda Directa sobre Restricciones
"Oye, ¿hasta cuánto me pueden financiar si quiero comprar mi primera casa, nueva o usada?","['# Financiamiento para Solicitar Crédito Hipotecario\n\nFinanciamiento hasta 80%. Financiamiento hasta el 90% sólo para adquisición de primera vivienda, nueva o usada y compra con Fondo de Garantía Estatal (FOGAES).\n\nPara definir el porcentaje de financiamiento se tomará el menor monto entre el precio de venta y el valor de tasación del bien. Para determinar el valor de propiedades con venta en verde, se tomará el menor valor entre la venta en verde y la tasación estimada del bien\n']",Colloquial Chileno Natural
¿Me pueden negar el crédito por estar en el Registro Nacional de Deudores de pensión alimenticia?,['# Ley 21.389 de Pensiones\n\nEl Banco revisará durante todo el proceso del crédito si el cliente se encuentra en el Registro Nacional de Deudores de Pensiones de Alimentos para evaluar si corresponde aplicar las indicaciones de la Normativa Implementación de la nueva ley 21.389 en Registro Deudores Pensión Alimenticia.\n'],Duda Directa sobre Restricciones
¿Tengo que ser chileno para poder solicitar un crédito hipotecario?,['# Nacionalidad para Solicitar Crédito Hipotecario\n\nChilena o extranjera con permanencia definitiva. Sujeto a cumplimiento de requisitos comerciales y normativos vigentes a la fecha de otorgamiento.\n'],Duda Directa sobre Restricciones
¿Puedo usar un préstamo de BancoEstado para cubrir el pie del crédito hipotecario?,['# Pie para solicitar Crédito Hipotecario\n\nEl pie (cuota contado) debe ser aportado con recursos propios y no debe corresponder a endeudamiento en BancoEstado u otras instituciones financieras.\n'],Duda Directa sobre Restricciones
¿Cuál es la edad mínima y máxima para postular a un crédito hipotecario y cómo varía según el plazo?,"['# Rango de edad mínima y máxima para solicitar Crédito Hipotecario\n\nEdad Mínima de 18 años con un máximo de 72 años y 364 días, según el plazo del crédito, a saber, exigencia asociada al seguro de desgravamen:\n\nPlazo crédito hasta 8 años, edad máxima de ingreso 72 años con 364 días\n\nPlazo crédito hasta 12 años, edad máxima de ingreso 69 años con 364 días\n\nPlazo crédito hasta 15 años, edad máxima de ingreso 66 años con 364 días\n\nPlazo crédito hasta 20 años, edad máxima de ingreso 61 años con 364 días\n\nPlazo crédito hasta 25 años, edad máxima de ingreso 56 años con 364 días\n\nPlazo crédito hasta 30 años, edad máxima de ingreso 50 años con 364 días\n\nLa edad máxima de permanencia será de 81 años y 364 días. La edad de ingreso más el plazo del crédito hipotecario no podrá ser superior a la edad máxima de permanencia. En el caso de complementación de rentas, la tabla anterior de edad máxima según plazo del crédito, debe cumplirse para ambos participantes.\n']",Duda Directa sobre Restricciones
¿Cuál es la renta líquida mínima que debo tener para solicitar un crédito hipotecario y cómo cambia si incluyo a un codeudor o segundo comprador?,"['# Renta líquida Mínima para Solicitar Crédito Hipotecario\n\nSueldo líquido mayor o igual a $600.000 con opción de complementar renta con un codeudor, con o sin vínculo, o segundo comprador. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nOpción de complementar renta con un codeudor, con o sin vínculo, o un segundo o tercer comprador. La renta de ambos ingresos debe ser mayor o igual a $900.000 pesos líquidos.\n\nPara complementación de renta, el titular del crédito debe cumplir con la renta mínima de $600.000. Sujeto a evaluación comercial y de riesgo vigente al momento de otorgamiento del crédito.\n\nEn caso de requerir un aval, este deberá ser evaluado en forma independiente de la misma forma que el deudor directo , deberá calificar en todos los aspectos de la evaluación y cumplir con todas las normativas vigentes por sí solo.\n\nValor del dividendo a pagar hasta el 30% de tus ingresos mensuales.\n']",Duda Directa sobre Restricciones
"Oye, ¿qué es la calificación energética de un depa y cómo funciona?","['# Qué es calificación energética y en qué consiste\n\nLa Calificación Energética de Viviendas (CEV), es un instrumento de uso voluntario, que califica la eficiencia energética de una vivienda en su etapa de uso -un sistema similar al usado para etiquetar energéticamente refrigeradores y automóviles- que considera requerimientos de calefacción, enfriamiento, iluminación y agua caliente sanitaria.\n']",Colloquial Chileno Natural
"Oye, ¿qué es la carta de resguardo y para qué sirve?","['# Qué es la carta de resguardo y en qué consiste\n\nLa carta de resguardo se puede definir, como el compromiso de pago de una Institución Financiera a otra para requerir que alce sus garantías.\n']",Colloquial Chileno Natural
"Oye, ¿me puedes decir qué es la cartola de gastos operacionales del crédito hipotecario y qué incluye?","['# Qué es la cartola de gastos operacionales\n\nEs el documento que muestra los movimientos y saldos relacionados a los gastos operacionales incurridos para cursar el crédito hipotecario, tales como: inscripción conservatoria, tasación, estudio de títulos y redacción de escritura.\n']",Colloquial Chileno Natural
¿Qué es el certificado de pensión de alimentos y dónde lo puedo obtener?,['# Qué es el certificado de pensión de alimento y donde se obtiene\n\nEs un documento que emite el Servicio de Registro Civil que acredita la existencia o no de inscripciones en el Registro Nacional de Deudores de Pensión de Alimentos.\n'],Principiante / Educativo
¿Qué es el desembolso del crédito?,['# Qué es el desembolso del crédito\n\nEs el proceso de entrega material del crédito a sus destinatarios.\n'],Principiante / Educativo
¿Qué documentos me pide el SERNAC al contratar un préstamo y para qué sirve cada uno?,"['# En qué consisten y cuáles son los documentos SERNAC\n\nSon documentos anexos a la escritura establecidos en la legislación sobre Protección de los Derechos de los Consumidores. Son básicamente dos:\n\nLa hoja resumen es un documento que detalla las condiciones principales del préstamo, como el monto, la tasa de interés, el plazo, el costo total, y otros cargos relevantes y que debe ser firmado por el deudor.\n\nEl otro documento es la ficha explicativa sobre el rol de avalista, fiador o codeudor solidario. Este documento contiene información sobre las obligaciones que asumen los avales o codeudores y debe ser firmado por éstos.\n']",Principiante / Educativo
¿Qué es la hoja resumen del contrato y por qué me la piden al firmar la escritura?,"['# En qué consiste el documento hoja resumen del contrato\n\nEs un documento exigido por la Ley sobre Protección de los Derechos de los Consumidores y que se firma junto con la escritura por parte del cliente en notaria, se incluye y se suscribe en conjunto con la Hoja Resumen y la Ficha Explicativa, que son los llamados Documentos SERNAC.\n']",Principiante / Educativo
¿Qué es el documento de cotización y quién lo emite?,['# En qué consiste el documento cotización y quien lo emite\n\nEs un documento emitido por el Banco una vez que ha sido aprobado el otorgamiento del crédito y que contiene sus condiciones. Tiene una validez legal de 7 días.\n'],Principiante / Educativo
¿Dónde puedo obtener el certificado de gravámenes y qué información incluye?,"['# Cuál es la fuente del documento Certificado de Hipotecas y Gravámenes y cuál es su descripción\n\nEl Certificado de Gravámenes y Prohibiciones (GP), lo emite el Conservador Bienes Raíces respectivo y es el certificado que informa las inscripciones de Gravámenes y Prohibiciones e Interdicciones vigentes que puedan afectar al inmueble.\n']",Orientado a la Acción
¿Qué es el anexo de productos y servicios que se firma con la escritura y qué incluye?,"['# Qué es el anexo de productos y servicios y que incluye\n\nEs un documento para firmar en conjunto con la escritura, que incluye detalle de productos y servicios contratados, adicionales al crédito hipotecario.\n']",Principiante / Educativo
"Oye, ¿dónde puedo sacar el certificado de unión civil y qué datos trae?","['# En dónde puedo obtener el Certificado de Unión Civil y que contiene\n\nEn el Registro Civil e Identificaciones y se obtiene con la indicación del RUT de alguno de los contratantes. El certificado individualiza a los contratantes, la fecha de la celebración del acuerdo y el régimen patrimonial que hubieren establecido.\n']",Colloquial Chileno Natural
"Oye, ¿dónde puedo sacar el certificado de matrimonio y qué información lleva?","['# En dónde puedo obtener el Certificado de Matrimonio y que contiene\n\nEn el Registro Civil e Identificaciones y se obtiene con la indicación del RUT de alguno de los contrayentes. Contiene la individualización de los cónyuges, lugar y fecha de celebración del matrimonio y el régimen patrimonial que hubieren acordado, a menos que no lo hayan establecido, caso en el cual se entiende que se contrajo matrimonio bajo el régimen de Sociedad Conyugal.\n']",Colloquial Chileno Natural
"Oye, ¿dónde consigo el certificado de no matrimonio y qué información trae?","['# En dónde puedo obtener el certificado de no Matrimonio y que contiene\n\nEn el Registro Civil e Identificación y como su nombre lo indica, contiene la indicación de que la persona individualizada, no posee vínculo matrimonial inscrito en el Registro Civil.\n']",Colloquial Chileno Natural
"Oye, ¿qué es eso del estudio de título que me piden al comprar un depa?","['# En qué consiste el Estudio de Titulo\n\nEs un análisis legal que realiza un abogado para verificar la situación jurídica de una propiedad antes de una compraventa o la constitución de una hipoteca. Este proceso busca identificar posibles problemas o cargas que puedan afectar la transferencia de la propiedad, como deudas, hipotecas, o litigios.\n']",Colloquial Chileno Natural
"Oye, ¿qué es el certificado de avalúo fiscal, qué lleva y dónde lo puedo pedir?","['# Qué es un certificado de Avalúo Fiscal y en donde lo puedo pedir y que contiene\n\nEs un documento emitido por el Servicio de Impuestos Internos, y que contiene una tasación fiscal del inmueble singularizado con su número de rol y ubicación. También indica el destino legal de la propiedad.\n']",Colloquial Chileno Natural
¿Dónde consigo el certificado de pago de impuestos y qué incluye?,"['# En dónde obtengo un certificado de pago de impuestos y que consiste\n\nSe obtiene en la Tesorería General de la Republica y consiste en el detalle de pago de impuestos territoriales, dado el rol señalado. También se puede obtener en el Servicio de Impuestos Internos si los pagos se han realizado directamente en dicho servicio.\n']",Principiante / Educativo
¿Dónde puedo obtener el certificado de no expropiación de Serviu?,['# En dónde obtengo el certificado de no expropiación de Serviu\n\nEn la página web destinada para obtener el Certificado de no expropiación por parte de SERVIU\n'],Principiante / Educativo
¿Qué es el certificado de no expropiación municipal y dónde lo puedo pedir?,"['# Qué es un certificado de no expropiación Municipal y donde lo puedo pedir\n\nEl certificado de expropiación municipal o de cesión por causa de utilidad pública, es un documento emitido por la dirección de obras de la Municipalidad Respectiva, indicando si la propiedad se encuentra afecta o no a eventual expropiación por causa de utilidad pública.\n']",Principiante / Educativo
"No sé dónde tengo que ir para obtener el certificado de número de mi propiedad, ¿me puedes indicar el lugar y qué datos debo presentar?","['# En dónde se obtiene el certificado de número\n\nSe obtiene en la dirección de Obras de la Municipalidad respectiva, indicando el rol de avalúo de la propiedad, y la información contenida a la dirección precisa de la propiedad para el municipio.\n']",Principiante / Educativo
"Oye, ¿qué es la recepción final y dónde tengo que ir a sacarla?","['# Qué es la recepción final y cuál es su descripción\n\nEs un documento que otorga la Dirección de Obras de la Municipalidad respectiva, que acredita que las construcciones existentes en el inmueble se encuentran recibidas o regularizadas conforme a la Ley. Se obtiene en la Dirección de Obras Municipales y en el documento se indica el rol de avalúo de la propiedad y señala si las construcciones existentes en el inmueble se encuentran recepcionadas y con qué fecha, asimismo la superficie construida recepcionada.\n']",Colloquial Chileno Natural
"Oye, ¿qué es el certificado de vivienda social y dónde lo consigo?","['# En qué consiste el Certificado de Vivienda Social y donde se consigue\n\nSe obtiene en la Dirección de Obras Municipales, indicando el rol de avalúo de la propiedad, y consiste en una calificación legal que sirve para acceder a exenciones tributarios y una rebaja en algunos gastos operacionales.\n']",Colloquial Chileno Natural
"Oye, ¿dónde puedo conseguir la escritura pública de mi depa y cómo la pido, al tiro?","['# En dónde puedo conseguir una Escritura Pública y como la pido\n\nSe obtiene en la Notaria competente, o en el Archivero Judicial si ha transcurrido más de un año desde su otorgamiento. Se solicita con el número de repertorio, la fecha de la escritura y la Notaría ante la cual se otorgó.\n']",Colloquial Chileno Natural
¿Qué es el formulario 24 y para qué sirve en el proceso de un préstamo?,['# En qué consiste el formulario 24 - Pago Impuesto y Timbre Estampilla\n\nEs un formulario proporcionado por el Servicio de Impuestos Internos para el pago del impuesto de timbres y estampillas que grava la escritura que da cuenta del préstamo.\n'],Principiante / Educativo
¿Quién hace la tasación del depa y qué lleva ese documento?,"['# Quién emite la Tasación y cuál es su descripción\n\nEs Documento formulado por un tasador, para informar valor mercado y de liquidación correspondiente a la propiedad que se constituirá como garantía hipotecaria.\n']",Colloquial Chileno Natural
¿Qué es el seguro desgravamen y para qué sirve?,"['# En qué consiste el seguro desgravamen\n\nEs un tipo de seguro de vida asociado a un préstamo, que cubre el saldo insoluto de la deuda en caso de fallecimiento o invalidez total y permanente del asegurado.\n']",Principiante / Educativo
¿Dónde consigo la solicitud de crédito hipotecario y quién la entrega?,['# Quién emite la solicitud de crédito hipotecario y cuál es su descripción\n\nLa fuente del documento SOLICITUD DE CREDITO HIPOTECARIO es BancoEstado y es el Formulario proporcionado por el banco para la solicitud del crédito.\n'],Orientado a la Acción
¿Qué es la carta de aceptación del seguro desgravamen?,['# Qué es una carta de aceptación seguro desgravamen y cuál es su descripción\n\nLa carta de aceptación seguro desgravamen se obtiene en la Compañía de Seguros y consiste en la Declaración de aceptación de seguro por parte de la aseguradora.\n'],Principiante / Educativo
¿Qué es el certificado de deslindes del Conservador y qué necesito para solicitarlo?,"['# Qué es un certificado de deslindes del Conservador\n\nEs un documento emitido por el Conservador de Bienes Raíces respectivo, en el cual se identifica los deslindes que tiene una propiedad conforme a sus títulos y planos, se obtiene con la indicación de la inscripción de dominio vigente, foja, número y año, aunque no todos los Conservadores lo otorgan.\n']",Orientado a la Acción
"Oye, ¿qué es la copia de inscripción de dominio vigente y cómo la consigo?","['# Qué es la copia de inscripción de dominio vigente de la propiedad y como se obtiene\n\nEs el documento que corresponde a la inscripción de dominio del inmueble en el Registro de Propiedad del Conservador de Bienes Raíces respectivo. En ella se individualiza al poseedor inscrito del inmueble, se singulariza el inmueble con indicación de sus deslindes y señala el título mediante el cual se adquiere el dominio. Además, puede indicar si la propiedad se encuentra declara bien familiar, ha sido divida o transferida en parte. Se obtiene con la indicación de la inscripción de dominio vigente, foja, número y año. Si además contiene una certificación de encontrarse “vigente”, que puede ser en todo o en parte, correspondería a una copia de inscripción de dominio “vigente”.\n']",Colloquial Chileno Natural
"Oye, ¿el leasing habitacional sirve para personas que pueden pagar arriendo pero no logran ahorrar suficiente para postular a los subsidios tradicionales?","['# A quiénes está dirigido Leasing Habitacional\n\nA personas que pueden pagar un arriendo, pero que no tienen capacidad de generar ahorro suficiente para postular a otros sistemas de subsidio habitacional.\n']",Colloquial Chileno Natural
¿Qué puntaje extra y aporte adicional recibo si tengo un integrante con discapacidad al postular al subsidio Minvu DS1 Tramo 2?,['# Beneficios para personas con discapacidad en programas Minvu DS1 Tramo 2\n\nBeneficios para personas con discapacidad en programas Minvu\n\nEste subsidio habitacional considera una atención especial para grupos familiares que cuenten con algún integrante que pertenezca al Registro Nacional de la Discapacidad.\n\nLas medidas especiales establecidas son las siguientes:\n\nPuntaje adicional al momento de ser evaluada la postulación a este programa habitacional. Son 30 puntos por cada integrante del núcleo familiar declarado que acredite discapacidad.\n\nLas personas o familias que obtengan este subsidio recibirán un aporte adicional de hasta 20 UF u 80 UF en caso de movilidad reducida para financiar obras en la vivienda que contribuyan a superar las limitaciones que afecten al integrante del grupo familiarcon discapacidad.\n'],Duda Directa sobre Restricciones
"Tengo una familia con un integrante que está registrado en el Registro Nacional de la Discapacidad y queremos postular al subsidio habitacional Minvu DS1 Tramo 3, ¿qué beneficios y puntaje extra nos otorga?","['# Beneficios para personas con discapacidad en programas Minvu DS1 Tramo 3\n\nBeneficios para personas con discapacidad en programas Minvu\n\nEste subsidio habitacional considera una atención especial para grupos familiares que cuenten con algún integrante que pertenezca al Registro Nacional de la Discapacidad.\n\nLas medidas especiales establecidas son las siguientes:\n\nPuntaje adicional al momento de ser evaluada la postulación a este programa habitacional. Son 30 puntos por cada integrante del núcleo familiar declarado que acredite discapacidad.\n\nLas personas o familias que obtengan este subsidio, recibirán un aporte adicional de hasta 20 UF u 80 UF en caso de movilidad reducida para financiar obras en la vivienda que contribuyan a superar las limitaciones que afecten al integrante del grupo familiarcon discapacidad.\n']",Caso Hipotético en Primera Persona
"Oye, ¿cómo se financia la compra de un depa? ¿Qué combina con el subsidio y el crédito hipotecario?",['# Cómo se financia la compra de una vivienda DS1 Tramo 1\n\n¿Cómo se financia la compra de una vivienda?\n\nAHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CRÉDITO HIPOTECARIO\n\nEl valor máximo del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.\n'],Colloquial Chileno Natural
¿Cómo se financia la compra de una vivienda con el subsidio DS1 Tramo 2?,['# Cómo se financia la compra de una vivienda DS1 Tramo 2\n\n¿Cómo se financia la compra de una vivienda?\n\nAHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CREDITO HIPOTECARIO\n\nEl valor máximo de la vivienda y del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.\n'],Principiante / Educativo
¿Cómo se financia la compra de una vivienda con el subsidio DS1? Necesito saber qué recursos se combinan y si depende la zona.,['# Cómo se financia la compra de una vivienda DS1 Tramo 3\n\n¿Cómo se financia la compra de una vivienda?\n\nAHORRO + SUBSIDIO HABITACIONAL + RECURSOS PROPIOS O CRÉDITO HIPOTECARIO\n\nEl valor máximo de la vivienda y del subsidio que pueden obtener las familias varía según la zona geográfica donde se espera aplicar este aporte del Estado.\n'],Principiante / Educativo
"Oye, ¿qué papeles tengo que llevar para inscribir el leasing habitacional?",['# Documentos requeridos Leasing Habitacional\n\nPara la Inscripción se solicita:\n\nFotocopia y Original Cédula de Identidad (postulante y cónyuge).\n\nCuenta de Ahorro para Arrendamiento de Viviendas con Promesa de Compraventa (postulante o cónyuge).\n'],Colloquial Chileno Natural
¿Qué pasos tengo que seguir y qué documentos necesito para comprar una vivienda con el subsidio DS19?,"['# DS19 Para comprar una vivienda con deuda hipotecaria\n\nPuedes acceder a este programa con los siguiente Subsidios:\n\nDS1\n\nDS 1 Tramo 1 (ex Título I tramo 1)\n\nSólo en caso de no existir cupo para viv. de 1100 UF, puede optar por viv. de hasta 1.400 UF.\n\nPermite comprar una vivienda de HASTA 1.400 UF\n\nDS 1 Tramo 2 (ex Título I tramo 2 y DS 1 Tramo 3 (ex Título II)\n\nPermite comprar una vivienda de HASTA 2.200 UF\n\n¿Cómo se paga mi vivienda?\n\nAHORRO + SUBSIDIO + BONOS + APORTE (CONTADO O HIPOTECARIO)\n\n¿Me pueden cobrar por gastos operacionales y de escrituración?\n\nSi el proyecto es de mi interés ¿qué pasos debo seguir?\n\nPaso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto.\n\nPaso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles.\n\nPaso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto.\n\nSi ya estoy inscrito en el proyecto debo solicitar a la entidad:\n\nComprobante de inscripción al proyecto\n\nEn las regiones de Arica y Parinacota, Tarapacá, Antofagasta, Atacama, Aysén, Magallanes y Antártica Chilena, Provincia de Chiloé y las comunas de Palena, Isla de Pascua y Juan Fernández el valor máximo puede llegar desde las 1.600 UF y hasta las 2.400 UF respectivamente.\n']",Orientado a la Acción
"Si no tengo subsidio y quiero comprar un depa con el programa DS19, ¿qué requisitos tengo que cumplir y hasta cuánto puedo comprar?","['# DS19 Para comprar una vivienda si aún no tengo Subsidio\n\nPuedes acceder a este programa con los siguientes requisitos:\n\nAHORRO + PERTENECER HASTA EL 90% EN RSH (Registro Social de Hogares) + No tener una propiedad (postulante, cónyuge, conviviente civil o integrantes del grupo familiar declarado).\n\nMe permite adquirir una vivienda de:\n\nHASTA 2.200 UF\n\n¿Cómo se paga mi vivienda?\n\nAHORRO + SUBSIDIO + BONOS + APORTE (CONTADO O HIPOTECARIO)\n\n¿Me pueden cobrar por gastos operacionales y de escrituración?\n\nSi el proyecto es de mi interés ¿qué pasos debo seguir?\n\nPOR SUBSIDIO DS19\n\nPaso 1: Tomar contacto con las inmobiliarias o constructoras que desarrollan el proyecto.\n\nPaso 2: Visitar la sala de ventas del proyecto inmobiliario seleccionado y verificar si existen cupos disponibles.\n\nPaso 3: Gestionar la reserva de la vivienda elegida con la Inmobiliaria o Constructora que desarrolla el proyecto.\n\nSi ya estoy inscrito en el proyecto debo solicitar a la entidad:\n\nComprobante de inscripción al proyecto\n\nEn las regiones de Arica y Parinacota, Tarapacá, Antofagasta, Atacama, Aysén, Magallanes y Antártica Chilena, Provincia de Chiloé y las comunas de Palena, Isla de Pascua y Juan Fernández el valor máximo puede llegar hasta las 2.400 UF\n']",Caso Hipotético en Primera Persona
